142.44.178.198 - - [23/Sep/2020:17:02:45 +0200] "GET /w00tw00t.at.ISC.SANS.DFind:) HTTP/1.1" 400 182 "-" "-"
192.35.168.220 - - [23/Sep/2020:17:05:16 +0200] "GET / HTTP/1.1" 200 13 "-" "-"
192.35.168.220 - - [23/Sep/2020:17:05:17 +0200] "GET / HTTP/1.1" 200 13 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
128.14.133.58 - - [23/Sep/2020:17:45:49 +0200] "GET / HTTP/1.1" 200 13 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
212.102.33.153 - - [23/Sep/2020:18:41:14 +0200] "GET /robots.txt HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
212.102.33.153 - - [23/Sep/2020:18:41:14 +0200] "GET /xmlrpc.php?rsd HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
212.102.33.153 - - [23/Sep/2020:18:41:14 +0200] "GET / HTTP/1.1" 200 13 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
212.102.33.153 - - [23/Sep/2020:18:41:14 +0200] "GET /blog/robots.txt HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
212.102.33.153 - - [23/Sep/2020:18:41:14 +0200] "GET /blog/ HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
212.102.33.153 - - [23/Sep/2020:18:41:15 +0200] "GET /wordpress/ HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
212.102.33.153 - - [23/Sep/2020:18:41:15 +0200] "GET /wp/ HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
142.44.178.198 - - [23/Sep/2020:18:43:41 +0200] "GET / HTTP/1.1" 200 612 "-" "Python-urllib/2.7"
142.44.178.198 - - [23/Sep/2020:18:43:43 +0200] "GET /script HTTP/1.1" 404 178 "-" "Python-urllib/2.7"
